* Measurement data measured by REW V5,20 Beta 52
* Source: Frequency Response Averaged data
* Format: Averaged data produced from Harman EQ target, Harman loudspeaker pre, Harman Loudspeaker ta, Harman target curve Rti, Harman target curve
* Dated: 20.05.2020 08:19:13
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from Harman EQ target, Harman loudspeaker pre, Harman Loudspeaker ta, Harman target curve Rti, Harman target curve
* Measurement: Average 1
* Smoothing: 1/6 octave
* Frequency Step: 1/12 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 5.408502 0
21.200001 5.399993 0
22.400000 5.388556 0
23.600000 5.384518 0
25.000000 5.391357 0
26.500000 5.428802 0
28.000000 5.451930 0
30.000000 5.449368 0
31.500000 5.434523 0
33.500000 5.421587 0
35.500000 5.414016 0
37.500000 5.409914 0
40.000000 5.388695 0
42.500000 5.334284 0
45.000000 5.301415 0
47.500000 5.278967 0
50.000000 5.243367 0
53.000000 5.170757 0
56.000000 5.078958 0
60.000000 4.957986 0
63.000000 4.856603 0
67.000000 4.686015 0
71.000000 4.488698 0
75.000000 4.268467 0
80.000000 3.971717 0
85.000000 3.678086 0
90.000000 3.387852 0
95.000000 3.106870 0
100.000000 2.820660 0
106.000000 2.492231 0
112.000000 2.190769 0
118.000000 1.908403 0
125.000000 1.601663 0
132.000000 1.314303 0
140.000000 1.042208 0
150.000000 0.764234 0
160.000000 0.531500 0
170.000000 0.341336 0
180.000000 0.185675 0
190.000000 0.050036 0
200.000000 -0.051191 0
212.000000 -0.122490 0
224.000000 -0.183262 0
236.000000 -0.227752 0
250.000000 -0.275492 0
265.000000 -0.349411 0
280.000000 -0.400851 0
300.000000 -0.442736 0
315.000000 -0.466690 0
335.000000 -0.490064 0
355.000000 -0.529109 0
375.000000 -0.561085 0
400.000000 -0.596256 0
425.000000 -0.616072 0
450.000000 -0.637114 0
475.000000 -0.668710 0
500.000000 -0.682734 0
530.000000 -0.688245 0
560.000000 -0.696532 0
600.000000 -0.712531 0
630.000000 -0.731437 0
670.000000 -0.778308 0
710.000000 -0.829523 0
750.000000 -0.856087 0
800.000000 -0.879716 0
850.000000 -0.902795 0
900.000000 -0.942570 0
950.000000 -0.979042 0
1000.000000 -1.005522 0
1060.000000 -1.035249 0
1120.000000 -1.069786 0
1180.000000 -1.094039 0
1250.000000 -1.116371 0
1320.000000 -1.149409 0
1400.000000 -1.188465 0
1500.000000 -1.218177 0
1600.000000 -1.263117 0
1700.000000 -1.306077 0
1800.000000 -1.337426 0
1900.000000 -1.374607 0
2000.000000 -1.401113 0
2120.000000 -1.421547 0
2240.000000 -1.453036 0
2360.000000 -1.498887 0
2500.000000 -1.533737 0
2650.000000 -1.565426 0
2800.000000 -1.610110 0
3000.000000 -1.665973 0
3150.000000 -1.689472 0
3350.000000 -1.728857 0
3550.000000 -1.769274 0
3750.000000 -1.804784 0
4000.000000 -1.864079 0
4250.000000 -1.905801 0
4500.000000 -1.922969 0
4750.000000 -1.959399 0
5000.000000 -2.006957 0
5300.000000 -2.046682 0
5600.000000 -2.087763 0
6000.000000 -2.156545 0
6300.000000 -2.189724 0
6700.000000 -2.233474 0
7100.000000 -2.283583 0
7500.000000 -2.324432 0
8000.000000 -2.377343 0
8500.000000 -2.464037 0
9000.000000 -2.524804 0
9500.000000 -2.571016 0
10000.000000 -2.617811 0
10600.000000 -2.684833 0
11200.000000 -2.750176 0
11800.000000 -2.805795 0
12500.000000 -2.868808 0
13200.000000 -2.931965 0
14000.000000 -3.016207 0
15000.000000 -3.123648 0
16000.000000 -3.213984 0
17000.000000 -3.308009 0
18000.000000 -3.425767 0
19000.000000 -3.544361 0
